City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
214,Nelson Bay,AU,-32.7167,152.15,64.0,91,49,8.99,scattered clouds
215,Hervey Bay,AU,-25.2986,152.8535,64.02,82,0,8.01,clear sky
216,Eyl,SO,7.9803,49.8164,83.91,64,55,21.56,broken clouds
217,Kamen-Rybolov,RU,44.7481,132.0403,40.42,50,55,8.5,broken clouds
218,Castro,BR,-24.7911,-50.0119,70.61,69,100,11.9,light rain
219,Atar,MR,20.5169,-13.0499,101.52,12,60,13.73,broken clouds
220,Port Hardy,CA,50.6996,-127.4199,53.78,100,100,2.3,mist
221,Beyneu,KZ,45.3167,55.2,72.88,10,99,9.17,overcast clouds
222,Port Macquarie,AU,-31.4333,152.9167,59.9,93,77,6.13,broken clouds
223,Kaitangata,NZ,-46.2817,169.8464,39.47,83,93,9.75,overcast clouds
224,Ruteng,ID,-8.6136,120.4721,63.99,93,100,0.65,overcast clouds
225,Ortona,IT,42.3496,14.4039,77.18,50,100,6.04,overcast clouds
226,Gboko,NG,7.3179,8.9951,79.79,75,100,1.95,light rain
227,Umm Kaddadah,SD,13.6017,26.6876,96.12,25,100,6.8,overcast clouds
228,Nabire,ID,-3.3667,135.4833,76.73,91,100,5.84,overcast clouds
229,Rocha,UY,-34.4833,-54.3333,61.48,82,100,5.39,light rain
230,Emba,KZ,48.8264,58.1442,64.71,13,100,12.84,overcast clouds
231,Pundaguitan,PH,6.3711,126.1689,83.8,71,26,7.96,scattered clouds
232,Boyolangu,ID,-8.1181,111.8935,75.65,92,99,1.68,light rain
233,Lipany,SK,49.1538,20.9638,68.74,50,91,1.25,overcast clouds
234,Luhyny,UA,51.082,28.4006,63.54,61,65,11.21,broken clouds
235,Ovsyanka,RU,55.9575,92.5519,36.57,98,100,3.44,light rain
236,Xinxiang,CN,35.3089,113.8672,52.88,73,100,5.37,overcast clouds
237,Zhongshan,CN,21.3226,110.5829,80.1,82,7,13.73,clear sky
238,Poum,NC,-20.2333,164.0167,75.7,67,100,22.28,overcast clouds
239,Atasu,KZ,48.6814,71.6433,58.87,42,91,4.72,overcast clouds
240,Askino,RU,56.0901,56.5783,47.19,69,100,13.76,overcast clouds
241,Tocopilla,CL,-22.092,-70.1979,66.45,57,0,3.65,clear sky
242,Komsomolskiy,UZ,40.4272,71.7189,68.72,28,0,2.3,clear sky
243,Tautira,PF,-17.7333,-149.15,76.5,74,94,22.35,overcast clouds
244,Tezu,IN,27.9167,96.1667,73.13,98,98,3.42,overcast clouds
245,Virginia Beach,US,36.8529,-75.978,66.04,82,40,4.61,scattered clouds
246,Fortuna,US,40.5982,-124.1573,54.93,88,60,0.74,broken clouds
247,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,19.57,scattered clouds
248,Parfino,RU,57.9731,31.6481,59.41,68,11,13.47,few clouds
